long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0345_BXD029_Tlr4_J	BXD29_Tlr4_J_0345	BXD029_trl4	1_taylor	epoch_1a	F2_RI	169	169	NA	RI
4512-JFI-0364_BXD031_TyJ	BXD31_TyJ_0364	BXD031	2_mmr	epoch_1b	F2_RI	148	148	NA	RI
4512-JFI-0415_BXD032_TyJ	BXD32_TyJ_0415	BXD032	2_mmr	epoch_1c	F2_RI	130	130	backcrossed once to female DBA/2J	RI
4512-JFI-0451_BXD33_TyJ	BXD33_TyJ_0451_2	BXD033	3_taylor	epoch_2	F2_RI	78	78	NA	RI
4512-JFI-0356_BXD034_TyJ	BXD34_TyJ_0356	BXD034	3_taylor	epoch_2	F2_RI	79	79	NA	RI
4512-JFI-0369_BXD036_TyJ	BXD36_TyJ_0369	BXD036	3_taylor	epoch_2	F2_RI	80	80	NA	RI
4512-JFI-0453_BXD038_TyJ	BXD38_TyJ_0453	BXD038	3_taylor	epoch_2	F2_RI	70	70	NA	RI
4512-JFI-0478_BXD39_TyJ	BXD39_TyJ_0478	BXD039	3_taylor	epoch_2	F2_RI	81	81	NA	RI
4512-JFI-0358_BXD40_TyJ	BXD40_TyJ_0358	BXD040	3_taylor	epoch_2	F2_RI	69	69	NA	RI
4512-JFI-0471_BXD42_TyJ	BXD42_TyJ_0471	BXD042	3_taylor	epoch_2	F2_RI	85	85	NA	RI
4512-JFI-0489_BXD43_RwwJ	BXD43_RwwJ_0489	BXD043	4_rww	epoch_3a	G10_RI	55	65	NA	AI
4512-JFI-0363_BXD44_RwwJ	BXD44_RwwJ_0363	BXD044	4_rww	epoch_3a	G10_RI	58	68	NA	AI
4512-JFI-0486_BXD045_RwwJ	BXD45_RwwJ_0486	BXD045	4_rww	epoch_3a	G10_RI	36	46	NA	AI
