strain	perc_expand	off_epoch	fou_gt	n
BXD194	0.5935828877005348	epoch_6	D	187
BXD001	0.5907990314769975	epoch_1a	D	413
BXD067	0.5894039735099338	epoch_3b	D	151
BXD014	0.5803402646502835	epoch_1a	D	529
BXD221	0.5757575757575758	epoch_7	D	33
BXD020	0.5753138075313807	epoch_1a	D	478
BXD214	0.5666666666666667	epoch_6	B	60
BXD033	0.5625	epoch_2	D	112
BXD197	0.5625	epoch_6	D	64
BXD124	0.5616438356164384	epoch_4	D	73
BXD031	0.5615141955835962	epoch_1a	D	634
BXD062	0.5606936416184971	epoch_3b	D	173
BXD012	0.5549348230912476	epoch_1a	D	537
BXD123	0.5454545454545454	epoch_4	D	66
BXD201	0.5409836065573771	epoch_6	D	61
BXD032	0.5194274028629857	epoch_1a	D	489
BXD215	0.5166666666666667	epoch_6	B	60
BXD155	0.5131578947368421	epoch_4	D	76
BXD015	0.5068807339449541	epoch_1a	D	436
BXD218	0.5068493150684932	epoch_6	D	73
BXD009	0.503370786516854	epoch_1a	D	445
